Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5062139,F      ,0,1,0,112500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,35,11,0,8,1
5062149,F      ,1,1,0,202500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,2,39,3,10,6,0
5062150,F      ,1,1,0,202500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,2,39,3,1,20,1
5062151,F      ,1,1,0,202500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,2,39,3,2,11,1
5062153,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,37,3,1,17,1
5062154,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,37,3,0,10,1
5062155,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,37,3,0,19,1
5062156,F      ,0,1,0,166500,Commercial associate                              ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,7,0,33,1
5062157,F      ,0,1,0,166500,Commercial associate                              ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,7,0,51,1
5062159,F      ,0,1,0,166500,Commercial associate                              ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,7,0,18,1
5062160,F      ,0,1,0,166500,Commercial associate                              ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,7,0,30,1
5062161,F      ,0,1,0,166500,Commercial associate                              ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,7,0,30,1
5062162,F      ,0,1,0,166500,Commercial associate                              ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,7,0,11,1
5062173,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,43,3,0,45,1
5062174,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,43,3,0,8,1
5062175,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,43,3,0,24,1
5062176,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,43,3,0,10,1
5062177,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,43,3,0,17,1
5062178,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,4,43,3,4,19,1
5062181,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,12,1
5062182,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,34,1
5062183,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,26,1
5062184,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,26,1
5062185,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,26,1
5062186,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,26,1
